,Customer_ID,Gender,Age,Married, Dependents,City,Zip_Code,Referrals,Tenure,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium Tech Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
0,0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,2,9,None,Yes,42,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65,593,0,0,381,974,Stayed,Not Applicable,Not Applicable
1,0003-MKNFE,Male,46,No,0,Glendale,91206,0,9,None,Yes,10,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4,542,38,10,96,610,Stayed,Not Applicable,Not Applicable
2,0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,0,4,Offer E,Yes,33,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73,280,0,0,134,415,Churned,Competitor,Competitor had better devices
3,0011-IGKFF,Male,78,Yes,0,Martinez,94553,1,13,Offer D,Yes,27,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98,1237,0,0,361,1599,Churned,Dissatisfaction,Product dissatisfaction
4,0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,3,3,None,Yes,7,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83,267,0,0,22,289,Churned,Dissatisfaction,Network reliability
5,0013-MHZWF,Female,23,No,3,Midpines,95345,0,9,Offer E,Yes,16,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69,571,0,0,150,722,Stayed,Not Applicable,Not Applicable
6,0013-SMEOE,Female,67,Yes,0,Lompoc,93437,1,71,Offer A,Yes,9,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109,7904,0,0,707,8611,Stayed,Not Applicable,Not Applicable
7,0014-BMAQU,Male,52,Yes,0,Napa,94558,8,63,Offer B,Yes,12,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84,5377,0,20,816,6214,Stayed,Not Applicable,Not Applicable
8,0015-UOCOJ,Female,68,No,0,Simi Valley,93063,0,7,Offer E,Yes,10,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48,340,0,0,73,414,Stayed,Not Applicable,Not Applicable
9,0016-QLJIS,Female,43,Yes,1,Sheridan,95681,3,65,None,Yes,28,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90,5957,0,0,1849,7807,Stayed,Not Applicable,Not Applicable
10,0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,0,54,None,No,0,No,Yes,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45,2460,0,0,0,2460,Stayed,Not Applicable,Not Applicable
11,0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,2,72,None,Yes,16,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116,8456,0,0,1152,9609,Stayed,Not Applicable,Not Applicable
12,0018-NYROU,Female,58,Yes,0,Antelope,95843,0,5,None,Yes,18,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68,351,0,0,93,444,Stayed,Not Applicable,Not Applicable
13,0019-EFAEP,Female,32,No,0,La Mesa,91942,0,72,Offer A,Yes,2,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101,7261,0,0,162,7423,Stayed,Not Applicable,Not Applicable
14,0019-GFNTW,Female,39,No,0,Los Olivos,93441,0,56,None,No,0,No,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45,2560,0,0,0,2560,Stayed,Not Applicable,Not Applicable
15,0020-INWCK,Female,58,Yes,2,Woodlake,93286,9,71,Offer A,Yes,27,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95,6849,0,0,1935,8784,Stayed,Not Applicable,Not Applicable
16,0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,0,34,None,No,0,No,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61,1993,0,0,0,1993,Stayed,Not Applicable,Not Applicable
17,0021-IKXGC,Female,72,No,0,San Marcos,92078,0,1,Offer E,Yes,7,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72,72,0,0,7,79,Joined,Not Applicable,Not Applicable
18,0022-TCJCI,Male,79,No,0,Daly City,94015,0,45,None,Yes,10,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62,2791,0,0,480,3271,Churned,Dissatisfaction,Limited range of services
19,0023-HGHWL,Male,67,No,0,Morgan Hill,95037,0,1,None,No,0,No,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25,25,0,0,0,25,Churned,Competitor,Competitor made better offer
20,0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,0,50,None,Yes,31,Yes,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25,1306,0,0,1571,2877,Stayed,Not Applicable,Not Applicable
21,0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,1,13,None,Yes,43,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94,1215,0,0,566,1781,Churned,Other,Don't know
22,0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,1,23,Offer D,Yes,34,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83,1849,0,0,802,2652,Stayed,Not Applicable,Not Applicable
23,0030-FNXPP,Female,22,No,0,Keeler,93530,0,3,None,Yes,3,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19,57,0,0,9,66,Joined,Not Applicable,Not Applicable
24,0031-PVLZI,Female,34,Yes,0,Korbel,95550,0,4,Offer E,Yes,12,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20,76,0,0,49,126,Churned,Price,Long distance charges
25,0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,1,1,None,No,0,No,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30,30,0,0,0,30,Churned,Attitude,Attitude of service provider
26,0036-IHMOT,Female,37,Yes,3,Parlier,93648,10,55,None,Yes,35,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103,5656,0,20,1927,7603,Stayed,Not Applicable,Not Applicable
